instanceID	label	comment	annotator
289_head_nn	4	 	gold
365_prop_nn	4	 	gold
130_edge_nn	4	 	gold
209_maxim_nn	4	 	gold
16_record_nn	4	 	gold
44_heel_nn	4	 	gold
923_bar_nn	1	 	gold
409_stab_nn	4	 	gold
93_risk_nn	4	 	gold
107_quilt_nn	4	 	gold
1277_tip_vb	1	 	gold
104_prop_nn	4	 	gold
404_edge_nn	4	 	gold
254_lass_nn	4	 	gold
949_prop_nn	4	 	gold
418_face_nn	4	 	gold
488_bar_nn	1	 	gold
136_twist_nn	4	 	gold
95_face_nn	4	 	gold
261_chef_nn	1	 	gold
108_afternoon_nn	4	 	gold
116_land_nn	4	 	gold
51_lane_nn	4	 	gold
249_plane_nn	1	 	gold
474_plane_nn	1	 	gold
512_bar_nn	1	 	gold
169_record_nn	4	 	gold
322_graft_nn	1	 	gold
1268_tip_vb	1	 	gold
282_ball_nn	1	 	gold
467_plane_nn	1	 	gold
68_bag_nn	4	 	gold
68_risk_nn	4	 	gold
775_bar_nn	4	 	gold
21_afternoon_nn	4	 	gold
175_record_nn	2	 	gold
181_attack_nn	3	 	gold
92_bag_nn	4	 	gold
53_tree_nn	4	 	gold
393_tip_vb	1	 	gold
233_ball_nn	1	 	gold
68_savage_nn	4	 	gold
289_graft_nn	4	 	gold
189_heel_nn	4	 	gold
72_bag_nn	4	 	gold
739_ball_nn	4	 	gold
237_attack_nn	3	 	gold
707_bit_nn	1	 	gold
310_grain_nn	4	 	gold
117_player_nn	4	 	gold
25_circle_vb	3	 	gold
248_rally_nn	2	 	gold
297_ball_nn	1	 	gold
221_ball_nn	1	 	gold
47_lass_nn	4	 	gold
249_quilt_nn	4	 	gold
103_multitude_nn	4	 	gold
336_head_nn	4	 	gold
1481_tip_vb	1	 	gold
455_ball_nn	4	 	gold
880_prop_nn	1	 	gold
1314_tip_vb	1	 	gold
16_tree_nn	4	 	gold
319_plane_nn	1	 	gold
284_rag_nn	4	 	gold
252_chairman_nn	4	 	gold
67_chef_nn	4	 	gold
82_maxim_nn	4	 	gold
45_quilt_nn	4	 	gold
256_heel_nn	4	 	gold
58_face_nn	2	 	gold
411_part_nn	2	 	gold
24_afternoon_nn	4	 	gold
407_tip_vb	1	 	gold
87_include_vb	4	 	gold
274_chef_nn	4	 	gold
343_graft_nn	1	 	gold
411_ball_nn	1	 	gold
74_afternoon_nn	4	 	gold
310_bit_nn	4	 	gold
28_afternoon_nn	4	 	gold
411_head_nn	4	 	gold
243_graft_nn	1	 	gold
616_plane_nn	1	 	gold
181_face_nn	4	 	gold
1258_tip_vb	1	 	gold
146_ounce_nn	4	 	gold
230_plane_nn	4	 	gold
315_multitude_nn	4	 	gold
325_attack_nn	4	 	gold
305_player_nn	4	 	gold
305_graft_nn	1	 	gold
140_land_nn	4	 	gold
46_chairman_nn	4	 	gold
450_part_nn	3	 	gold
35_maxim_nn	4	 	gold
364_graft_nn	4	 	gold
678_graft_nn	1	 	gold
429_face_nn	4	 	gold
238_graft_nn	4	 	gold
97_lass_nn	1	 	gold
96_stroke_vb	4	 	gold
24_lass_nn	1	 	gold
156_ounce_nn	4	 	gold
360_circle_vb	2	 	gold
318_prop_nn	1	 	gold
280_lane_nn	4	 	gold
82_savage_nn	4	 	gold
128_afternoon_nn	4	 	gold
88_multitude_nn	4	 	gold
15_donkey_nn	4	 	gold
52_savage_nn	4	 	gold
80_quilt_nn	4	 	gold
11_lass_nn	1	 	gold
23_chairman_nn	4	 	gold
139_stroke_vb	4	 	gold
244_rally_nn	4	 	gold
277_rag_nn	4	 	gold
145_maxim_nn	4	 	gold
140_twist_nn	2	 	gold
151_stroke_vb	4	 	gold
107_stroke_vb	4	 	gold
76_donkey_nn	4	 	gold
168_gas_nn	4	 	gold
307_graft_nn	1	 	gold
44_include_vb	4	 	gold
1540_tip_vb	1	 	gold
309_bit_nn	3	 	gold
143_chef_nn	4	 	gold
157_multitude_nn	4	 	gold
103_chef_nn	4	 	gold
451_part_nn	4	 	gold
530_grain_nn	4	 	gold
1218_twist_nn	3	 	gold
63_afternoon_nn	4	 	gold
273_ball_nn	1	 	gold
360_twist_nn	4	 	gold
145_ounce_nn	4	 	gold
193_plane_nn	1	 	gold
185_word_nn	4	 	gold
97_contemplation_nn	4	 	gold
486_tip_vb	1	 	gold
140_face_nn	4	 	gold
364_stab_nn	2	 	gold
271_graft_nn	1	 	gold
162_head_nn	2	 	gold
1112_pick_vb	4	 	gold
571_stab_nn	4	 	gold
133_plane_nn	1	 	gold
85_maxim_nn	4	 	gold
1175_tip_vb	1	 	gold
76_chef_nn	4	 	gold
80_afternoon_nn	4	 	gold
387_ounce_nn	4	 	gold
107_multitude_nn	4	 	gold
287_grain_nn	4	 	gold
344_grain_nn	4	 	gold
479_tip_vb	1	 	gold
262_graft_nn	1	 	gold
1148_tip_vb	1	 	gold
322_rally_nn	4	 	gold
85_afternoon_nn	4	 	gold
44_afternoon_nn	4	 	gold
220_ball_nn	1	 	gold
926_tip_vb	1	 	gold
49_bag_nn	4	 	gold
38_contemplation_nn	4	 	gold
730_bar_nn	1	 	gold
1065_stab_nn	4	 	gold
60_quilt_nn	4	 	gold
394_ounce_nn	4	 	gold
450_twist_nn	4	 	gold
126_multitude_nn	4	 	gold
118_fiction_nn	4	 	gold
229_ball_nn	1	 	gold
236_gas_nn	4	 	gold
279_bag_nn	4	 	gold
275_thump_nn	3	 	gold
62_lass_nn	1	 	gold
369_graft_nn	4	 	gold
104_stroke_vb	4	 	gold
160_gas_nn	4	 	gold
282_thump_nn	4	 	gold
55_risk_nn	4	 	gold
42_quilt_nn	4	 	gold
187_player_nn	4	 	gold
39_thump_nn	4	 	gold
75_fiction_nn	4	 	gold
310_pin_vb	2	 	gold
321_head_nn	4	 	gold
66_multitude_nn	4	 	gold
86_fiction_nn	4	 	gold
157_quilt_nn	4	 	gold
47_quilt_nn	4	 	gold
358_tip_vb	1	 	gold
328_graft_nn	1	 	gold
151_savage_nn	4	 	gold
209_afternoon_nn	4	 	gold
44_contemplation_nn	4	 	gold
78_relationship_nn	4	 	gold
286_plane_nn	1	 	gold
121_risk_nn	4	 	gold
135_lass_nn	1	 	gold
398_ounce_nn	4	 	gold
384_pick_vb	2	 	gold
293_plane_nn	1	 	gold
131_plane_nn	4	 	gold
136_include_vb	4	 	gold
540_bar_nn	1	 	gold
128_land_nn	3	 	gold
387_player_nn	4	 	gold
127_plane_nn	4	 	gold
261_lane_nn	2	 	gold
97_include_vb	4	 	gold
85_bag_nn	4	 	gold
87_afternoon_nn	4	 	gold
84_risk_nn	4	 	gold
418_bar_nn	1	 	gold
906_tip_vb	1	 	gold
128_tip_vb	4	 	gold
104_stab_nn	2	 	gold
299_stab_nn	2	 	gold
347_stab_nn	2	 	gold
111_stroke_vb	4	 	gold
111_risk_nn	4	 	gold
