instanceID	label	comment	annotator
83_include_vb	4		ChatGpt
149_fiction_nn	1		ChatGpt
575_bar_nn	1		ChatGpt
156_multitude_nn	4		ChatGpt
105_quilt_nn	4		ChatGpt
37_stroke_vb	4		ChatGpt
113_chef_nn	4		ChatGpt
93_lass_nn	4		ChatGpt
71_multitude_nn	4		ChatGpt
382_graft_nn	3		ChatGpt
503_tip_vb	2		ChatGpt
357_word_nn	4		ChatGpt
235_ball_nn	1		ChatGpt
5_face_nn	4		ChatGpt
188_face_nn	1		ChatGpt
107_relationship_nn	3		ChatGpt
80_chairman_nn	4		ChatGpt
321_pin_vb	2		ChatGpt
90_donkey_nn	4		ChatGpt
281_lane_nn	4		ChatGpt
189_rally_nn	4		ChatGpt
10_tip_vb	3		ChatGpt
92_stroke_vb	3		ChatGpt
286_head_nn	3		ChatGpt
34_afternoon_nn	4		ChatGpt
930_tip_vb	2		ChatGpt
71_lane_nn	4		ChatGpt
54_twist_nn	4		ChatGpt
168_grain_nn	2		ChatGpt
83_multitude_nn	4		ChatGpt
73_lass_nn	1		ChatGpt
36_quilt_nn	4		ChatGpt
93_edge_nn	4		ChatGpt
95_edge_nn	4		ChatGpt
440_plane_nn	4		ChatGpt
933_prop_nn	2		ChatGpt
151_quilt_nn	4		ChatGpt
520_bar_nn	2		ChatGpt
147_land_nn	3		ChatGpt
499_plane_nn	1		ChatGpt
61_part_nn	2		ChatGpt
663_ball_nn	4		ChatGpt
134_plane_nn	4		ChatGpt
188_plane_nn	1		ChatGpt
506_attack_nn	4		ChatGpt
131_donkey_nn	4		ChatGpt
310_chef_nn	3		ChatGpt
30_tree_nn	4		ChatGpt
448_bar_nn	2		ChatGpt
