instanceID	label	comment	annotator
289_head_nn	3		ChatGpt
365_prop_nn	3		ChatGpt
130_edge_nn	4		ChatGpt
209_maxim_nn	4		ChatGpt
16_record_nn	4		ChatGpt
44_heel_nn	4		ChatGpt
923_bar_nn	2		ChatGpt
409_stab_nn	4		ChatGpt
93_risk_nn	4		ChatGpt
107_quilt_nn	4		ChatGpt
1277_tip_vb	2		ChatGpt
104_prop_nn	4		ChatGpt
404_edge_nn	3		ChatGpt
254_lass_nn	4		ChatGpt
949_prop_nn	4		ChatGpt
418_face_nn	4		ChatGpt
488_bar_nn	2		ChatGpt
136_twist_nn	4		ChatGpt
95_face_nn	4		ChatGpt
261_chef_nn	1		ChatGpt
108_afternoon_nn	4		ChatGpt
116_land_nn	4		ChatGpt
51_lane_nn	4		ChatGpt
249_plane_nn	2		ChatGpt
474_plane_nn	2		ChatGpt
512_bar_nn	2		ChatGpt
169_record_nn	4		ChatGpt
322_graft_nn	1		ChatGpt
1268_tip_vb	2		ChatGpt
282_ball_nn	1		ChatGpt
467_plane_nn	2		ChatGpt
68_bag_nn	4		ChatGpt
68_risk_nn	4		ChatGpt
775_bar_nn	4		ChatGpt
21_afternoon_nn	4		ChatGpt
175_record_nn	3		ChatGpt
181_attack_nn	3		ChatGpt
92_bag_nn	4		ChatGpt
53_tree_nn	4		ChatGpt
393_tip_vb	2		ChatGpt
233_ball_nn	2		ChatGpt
68_savage_nn	4		ChatGpt
289_graft_nn	2		ChatGpt
189_heel_nn	4		ChatGpt
72_bag_nn	4		ChatGpt
739_ball_nn	4		ChatGpt
237_attack_nn	4		ChatGpt
707_bit_nn	2		ChatGpt
310_grain_nn	4		ChatGpt
117_player_nn	3		ChatGpt
25_circle_vb	3		ChatGpt
248_rally_nn	4		ChatGpt
297_ball_nn	3		ChatGpt
221_ball_nn	2		ChatGpt
47_lass_nn	4		ChatGpt
249_quilt_nn	3		ChatGpt
103_multitude_nn	4		ChatGpt
336_head_nn	3		ChatGpt
1481_tip_vb	2		ChatGpt
455_ball_nn	4		ChatGpt
880_prop_nn	3		ChatGpt
1314_tip_vb	2		ChatGpt
16_tree_nn	4		ChatGpt
319_plane_nn	1		ChatGpt
284_rag_nn	4		ChatGpt
252_chairman_nn	4		ChatGpt
67_chef_nn	4		ChatGpt
82_maxim_nn	4		ChatGpt
45_quilt_nn	1		ChatGpt
256_heel_nn	3		ChatGpt
58_face_nn	3		ChatGpt
411_part_nn	3		ChatGpt
24_afternoon_nn	4		ChatGpt
407_tip_vb	2		ChatGpt
87_include_vb	4		ChatGpt
274_chef_nn	4		ChatGpt
343_graft_nn	1		ChatGpt
411_ball_nn	4		ChatGpt
74_afternoon_nn	4		ChatGpt
310_bit_nn	4		ChatGpt
28_afternoon_nn	4		ChatGpt
411_head_nn	4		ChatGpt
243_graft_nn	1		ChatGpt
616_plane_nn	1		ChatGpt
181_face_nn	4		ChatGpt
1258_tip_vb	4		ChatGpt
146_ounce_nn	4		ChatGpt
230_plane_nn	4		ChatGpt
315_multitude_nn	4		ChatGpt
325_attack_nn	4		ChatGpt
305_player_nn	2		ChatGpt
305_graft_nn	1		ChatGpt
140_land_nn	4		ChatGpt
46_chairman_nn	4		ChatGpt
450_part_nn	4		ChatGpt
35_maxim_nn	4		ChatGpt
364_graft_nn	4		ChatGpt
678_graft_nn	2		ChatGpt
429_face_nn	4		ChatGpt
238_graft_nn	4		ChatGpt
97_lass_nn	1		ChatGpt
96_stroke_vb	4		ChatGpt
24_lass_nn	1		ChatGpt
156_ounce_nn	4		ChatGpt
360_circle_vb	2		ChatGpt
318_prop_nn	2		ChatGpt
280_lane_nn	4		ChatGpt
82_savage_nn	4		ChatGpt
128_afternoon_nn	4		ChatGpt
88_multitude_nn	3		ChatGpt
15_donkey_nn	4		ChatGpt
52_savage_nn	3		ChatGpt
80_quilt_nn	4		ChatGpt
11_lass_nn	1		ChatGpt
23_chairman_nn	4		ChatGpt
139_stroke_vb	4		ChatGpt
244_rally_nn	3		ChatGpt
277_rag_nn	4		ChatGpt
145_maxim_nn	4		ChatGpt
140_twist_nn	3		ChatGpt
151_stroke_vb	3		ChatGpt
107_stroke_vb	4		ChatGpt
76_donkey_nn	4		ChatGpt
168_gas_nn	4		ChatGpt
307_graft_nn	1		ChatGpt
44_include_vb	4		ChatGpt
1540_tip_vb	2		ChatGpt
309_bit_nn	3		ChatGpt
143_chef_nn	4		ChatGpt
157_multitude_nn	4		ChatGpt
103_chef_nn	4		ChatGpt
451_part_nn	3		ChatGpt
530_grain_nn	4		ChatGpt
1218_twist_nn	2		ChatGpt
63_afternoon_nn	4		ChatGpt
