instanceID	label	comment	annotator
134_maxim_nn	4	 	gold
1097_stab_nn	4	 	gold
62_heel_nn	2	 	gold
620_graft_nn	1	 	gold
1193_tip_vb	1	 	gold
19_afternoon_nn	4	 	gold
327_tip_vb	1	 	gold
65_bag_nn	4	 	gold
92_contemplation_nn	4	 	gold
260_pick_vb	2	 	gold
563_bar_nn	1	 	gold
111_tree_nn	4	 	gold
73_donkey_nn	4	 	gold
122_plane_nn	4	 	gold
127_donkey_nn	4	 	gold
12_chairman_nn	4	 	gold
416_bar_nn	4	 	gold
182_rally_nn	3	 	gold
23_rally_nn	4	 	gold
253_rally_nn	4	 	gold
184_lass_nn	4	 	gold
39_afternoon_nn	4	 	gold
53_maxim_nn	4	 	gold
88_donkey_nn	4	 	gold
52_face_nn	2	 	gold
32_tree_nn	4	 	gold
444_prop_nn	4	 	gold
124_maxim_nn	4	 	gold
39_risk_nn	4	 	gold
108_lane_nn	4	 	gold
314_head_nn	4	 	gold
123_quilt_nn	4	 	gold
904_tip_vb	2	 	gold
554_bar_nn	1	 	gold
24_risk_nn	4	 	gold
35_rally_nn	3	 	gold
993_tip_vb	1	 	gold
494_stab_nn	2	 	gold
265_heel_nn	4	 	gold
370_twist_nn	4	 	gold
87_quilt_nn	4	 	gold
279_lass_nn	4	 	gold
90_fiction_nn	4	 	gold
65_maxim_nn	4	 	gold
356_twist_nn	4	 	gold
17_afternoon_nn	4	 	gold
117_tree_nn	4	 	gold
89_donkey_nn	4	 	gold
70_part_nn	2	 	gold
194_afternoon_nn	4	 	gold
219_graft_nn	4	 	gold
190_rally_nn	4	 	gold
317_ball_nn	1	 	gold
310_lane_nn	3	 	gold
108_gas_nn	4	 	gold
5_chairman_nn	4	 	gold
278_lane_nn	4	 	gold
157_pick_vb	4	 	gold
340_head_nn	4	 	gold
303_plane_nn	1	 	gold
1013_prop_nn	1	 	gold
85_rag_nn	4	 	gold
8_afternoon_nn	4	 	gold
522_bar_nn	1	 	gold
99_circle_vb	2	 	gold
284_graft_nn	4	 	gold
97_chef_nn	4	 	gold
110_face_nn	4	 	gold
650_twist_nn	2	 	gold
53_gas_nn	4	 	gold
126_land_nn	4	 	gold
275_heel_nn	4	 	gold
181_plane_nn	1	 	gold
144_lane_nn	4	 	gold
133_lass_nn	4	 	gold
468_twist_nn	2	 	gold
152_quilt_nn	4	 	gold
167_lass_nn	4	 	gold
346_head_nn	4	 	gold
24_chairman_nn	4	 	gold
380_record_nn	4	 	gold
454_player_nn	3	 	gold
84_prop_nn	4	 	gold
37_thump_nn	4	 	gold
220_rally_nn	4	 	gold
74_donkey_nn	4	 	gold
67_include_vb	4	 	gold
59_risk_nn	4	 	gold
358_word_nn	4	 	gold
468_bar_nn	1	 	gold
381_prop_nn	4	 	gold
150_bar_nn	1	 	gold
43_afternoon_nn	4	 	gold
256_lass_nn	4	 	gold
83_bag_nn	4	 	gold
218_tip_vb	4	 	gold
453_bar_nn	1	 	gold
385_pick_vb	2	 	gold
412_ball_nn	1	 	gold
89_prop_nn	4	 	gold
68_thump_nn	4	 	gold
89_pin_vb	2	 	gold
337_ball_nn	4	 	gold
141_donkey_nn	4	 	gold
1200_tip_vb	1	 	gold
26_afternoon_nn	4	 	gold
960_twist_nn	3	Unsure	gold
441_stab_nn	4	 	gold
257_circle_vb	4	 	gold
113_include_vb	4	 	gold
98_plane_nn	4	 	gold
433_lass_nn	4	 	gold
203_graft_nn	1	 	gold
44_face_nn	4	 	gold
366_graft_nn	1	 	gold
469_part_nn	2	 	gold
41_chairman_nn	4	 	gold
1375_tip_vb	1	 	gold
41_tree_nn	4	 	gold
118_tree_nn	4	 	gold
60_stroke_vb	4	 	gold
115_pin_vb	2	 	gold
54_gas_nn	4	 	gold
290_chef_nn	4	 	gold
84_donkey_nn	4	 	gold
613_bar_nn	1	 	gold
276_ball_nn	1	 	gold
62_bit_nn	1	 	gold
31_chairman_nn	4	 	gold
81_stroke_vb	4	 	gold
50_chairman_nn	4	 	gold
83_savage_nn	4	 	gold
179_prop_nn	4	 	gold
35_savage_nn	4	 	gold
359_ball_nn	1	 	gold
23_donkey_nn	4	 	gold
244_graft_nn	1	 	gold
686_twist_nn	4	 	gold
403_ounce_nn	4	 	gold
91_gas_nn	4	 	gold
